Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1976-03,699-62,,,,,59-5,,,,,,,10-0,44-6,22-2,,26-0,9-0,,27-1,,,,,,,,,6-1,,54-0,42-4,,,,,,10-0,8-1,,,31-3,45-5,,,,14-2,,36-6,,,32-6,,,,28-0,18-1,,14-2,,7-0,,,9-1,13-2,,,,,,25-4,,,,,,,,,,29-3,,,,5-0,,,,9-2,6-1,,,,,30-3,10-1,,,,,,16-0,,,,
1976-05,685-62,,,,,59-4,,,,,,,10-0,43-8,22-2,,26-0,8-0,,27-0,,,,,,,,,6-1-J7 Ichinishiki,,50-0,42-4,,,,,,10-0,8-1,,,30-3,45-5,,,,14-2,,36-6,,,32-6,,,,27-1,18-1,,13-2,,8-0,,,9-1,13-2,,,,,,25-4,,,,,,,,,,28-3,,,,5-0,,,,10-1,6-1,,,,,28-3,10-1,,,,,,16-0,,,,
1976-07,670-62,,,,,55-5,,,,,,,10-0,42-7,22-2,,25-0,8-0,,27-0,,,,,,,,,6-1,,50-0,42-3,,,,,,10-0,7-1,,,29-3,45-5,,,,14-2,,38-6,,,30-6,,,,27-1,17-1,,12-2,,7-0,,,7-1,13-3,,,,,,24-4,,,,,,,,,,25-3,,,,4-0,,,,10-1,6-1,,,,,26-3,10-1,,,,,,16-0,,,,
1976-09,663-62,,,,,52-5,,,,,,,11-0,41-7,23-2,,25-0,6-0,,27-0,,,,,,,,,7-1,,49-0,43-3,,,,,,9-0,7-1,,,29-4,46-4,,,,14-1,,37-6,,,30-6,,,,27-2,17-1,,11-2,,7-0,,,7-1,15-3,,,,,,24-4,,,,,,,,,,24-3-S Kongo,,,,4-0,,,,11-1,5-1,,,,,26-3,9-1,,,,,,16-0,,,,
1976-11,643-62,,,,,52-5,,,,,,,11-0,40-9,22-2,,25-0,4-0,,25-0,,,,,,,,,7-1,,49-0,42-4,,,,,,11-0,7-1,,,29-4,44-4,,,,8-1,,37-6,,,30-7,,,,26-1,17-1,,11-1,,7-0,,,6-1,15-3,,,,,,23-4,,,,,,,,,,22-1,,,,3-0,,,,11-1,5-1,,,,,25-3,9-1,,,,,,16-0,,,,
1977-01,627-62,,,,,51-5,,,,,,,11-0,38-9,22-2,,25-0,4-0,,25-1,,,,,,,,,7-1,,44-0,41-3,,,,,,11-0,7-1,,,28-4,42-4,,,,7-1,,38-6,,,35-7,,,,26-1,17-1,,10-1,,7-0,,,6-1,16-3,,,,,,23-4,,,,,,,,,,20-1,,,,3-0,,,,11-1,5-1,,,,,25-3,9-1,,,,,,16-0,,,,
1977-03,682-62,,,,,54-4,,,,,,,10-0,39-8,24-2,,25-0,4-0,,28-1,,,,,,,,,10-1,,45-0,43-3,,,,,,14-0,8-1,,,30-4,50-5,,,,8-1,,40-6,,,32-8,,,,26-2,20-0,,12-1,,8-0,,,6-1,18-3,,,,,,23-4,,,,,,,,,,20-1,,,,4-0,,,,18-1,6-1,,,,,26-3,12-1,,,,,,16-0,,,,
1977-05,676-62,,,,,49-5,,,,,,,10-0,36-7,25-2,,25-0,5-0,,27-0,,,,,,,,,10-1,,45-0,45-3,,,,,,14-0,8-1,,,30-4,45-6,,,,8-1,,39-6,,,32-8,,,,27-2-O Kiyokuni,22-0,,11-1,,8-0,,,6-1,18-3,,,,,,25-4,,,,,,,,,,20-1,,,,5-0,,,,19-1,6-1,,,,,26-3,12-1,,,,,,16-0,,,,
1977-07,662-62,,,,,49-5,,,,,,,8-0,36-6,23-2,,25-0,6-0,,27-0,,,,,,,,,10-1,,45-2,44-3,,,,,,14-0,8-1,,,29-5,43-5,,,,7-1,,38-6,,,30-8,,,,27-2,21-0,,11-2,,8-0,,,6-1,18-3,,,,,,25-4,,,,,,,,,,18-1,,,,5-0,,,,18-1,7-1,,,,,27-2,10-0,,,,,,14-0,,,,
1977-09,657-61,,,,,48-5,,,,,,,8-0,38-7,23-2,,24-0,5-0,,25-0,,,,,,,,,10-1,,42-1,44-3,,,,,,14-0,8-1,,,29-5,44-6,,,,7-1,,38-6,,,28-7,,,,27-1,21-0,,10-2,,8-0,,,6-1,18-3,,,,,,25-4,,,,,,,,,,18-1,,,,5-0,,,,19-1,7-1,,,,,30-2,10-0,,,,,,14-0,,,,
1977-11,641-62,,,,,46-4,,,,,,,9-0,37-8,23-2,,41-3-Kokonoe,5-0,,25-0,,,,,,,,,11-1,,41-1,44-4,,,,,,13-0,8-1,,,28-5,44-6,,,,7-1,,37-6,,,28-7,,,,28-1,20-0,,11-2,,8-0,,,6-1,,,,,,,24-4,,,,,,,,,,17-1,,,,4-0,,,,19-1,7-1,,,,,26-2,9-0,,,,,,13-0,,,,
1978-01,626-62,,,,,45-4,,,,,,,9-0,37-7,23-2,,35-4,5-0,,24-0-K Hirokawa,,,,,,,,,11-1,,38-0,44-6,,,,,,12-0,8-1,,,27-5,44-6,,,,7-1,,35-6,,,28-5,,,,28-2,21-0-Izutsu,,11-2,,8-0,,,6-1,,,,,,,24-4,,,,,,,,,,18-1,,,,3-0,,,,18-1,7-1,,,,,28-2,9-0,,,,,,13-0,,,,
1978-03,681-62,,,,,49-7,,,,,,,9-0,37-7,23-2,,37-4,5-0,,25-0,,,,,,,,,11-1,,40-1,51-5,,,,,,13-0,7-0,,,28-4,49-6,,,,8-0,,36-7,,,29-5,,,,31-1,21-0,,12-2,,8-0,,,9-1,,,,,,,25-4,,,,,,,,,,18-1,,,,5-0,,,,28-1,6-1,,,,,35-2,8-0,,,,,,14-0,,,,
1978-05,680-62,,,,,48-7,,,,,,,9-0,36-5,23-2,,37-3,6-0,,25-0,,,,,,,,,11-1,,39-1,53-6,,,,,,14-0,7-0,,,27-4,46-6,,,,9-1,,36-7,,,31-6,,,,30-1,22-0,,12-1,,8-0,,,9-1,,,,,,,24-4,,,,,,,,,,18-2,,,,7-0,,,,27-1,6-1,,,,,35-2,8-0,,,,,,14-0,,,,
1978-07,662-62,,,,,47-6,,,,,,,8-0,34-6,22-2,,34-4,5-0,,26-0,,,,,,,,,10-1,,39-2,51-5,,,,,,13-0,7-0,,,25-4,42-6,,,,8-0,,35-7,,,31-5,,,,30-1,22-0,,12-1,,7-0,,,9-1,,,1-0-Kumagatani-M8 Yoshinomine,,,,23-4,,,,,,,,,,17-2,,,,7-0,,,,28-1,6-1,,,,,35-3,8-0,,,,,,15-0,,,,
1978-09,653-62,,,,,47-7,,,,,,,8-0,34-6,22-2,,34-3,5-0,,25-1,,,,,,,,,10-1,,37-2,48-5,,,,,,13-0,7-0,,,25-4,42-7,,,,8-0,,35-6,,,29-5,,,,31-1,22-0,,12-1,,7-0,,,9-1,,,1-0,,,,22-4,,,,,,,,,,17-2,,,,8-0,,,,28-1,6-0,,,,,33-3,8-0,,,,,,16-0,,,,
1978-11,629-62,,,,,47-6,,,,,,,8-0,36-5,23-2,,29-4,6-0,,24-1,,,,,,,,,10-1,,37-2,44-4,,,,,,13-0,7-0,,,27-4,37-6,,,,8-0,,32-7,,,29-5,,,,25-3,22-0,,12-1,,7-0,,,8-1,,,1-0,,,,22-4,,,,,,,,,,17-2,,,,8-0,,,,28-1,6-0,,,,,32-3,8-0,,,,,,14-0,,,,
1979-01,625-62,,,,,48-5,,,,,,,6-0,39-6,23-2,,29-3,6-0,,24-0,,,,,,,,,10-1,,36-2,42-5,,,,,,13-0,8-0,,,28-4,37-7,,,,7-0,,33-6,,,34-5,,,,25-3,21-0,,10-1,,7-0,,,8-1,,,1-0,,,,22-5,,,,,,,,,,17-2,,,,8-0,,,,28-1,6-0,,,,,30-3,8-0,,,,,,14-0,,,,
1979-03,702-62,,,,,48-5,,,,,,,9-0,47-6,23-2,,33-3,5-0,,24-0,,,,,,,,,11-1,,37-2,48-4,,,,,,12-0,9-0,,,32-4,41-8,,,,8-0,,46-6,,,33-4,,,,32-3,19-0,,16-1,,7-0,,,8-1,,,3-0,,,,26-5,,,,,,,,,,18-3,,,,12-0,,,,31-1,8-0,,,,,32-3,8-0,,,,,,14-0,,,,
1979-05,717-62,,,,,49-4,,,,,,1-0-Ajigawa-S Mutsuarashi,8-0,49-6,23-3,,35-3,7-0,,24-1,,,,,,,,,11-1,,39-2,49-3,,,,,,12-0,9-0,,,33-4,41-8,,,,9-0,,47-6,,,33-4,,,,33-3,20-0,,16-2,,7-0,,,9-1,,,4-0,,,,26-5,,,,,,,,,,18-2,,,,12-0,,,,30-1,8-0,,,,,33-3,8-0,,,,,,14-0,,,,
1979-07,707-60,,,,,49-4,,,,,,2-0,7-0,47-6,19-2,,33-2,7-0,,23-1,,,,,,,,,11-1,,38-2,48-3,,,,,,12-0,7-0,,,33-4,41-7,,,,9-0,,45-7,,,33-4,,,,34-3,21-0,,17-2,,7-0,,,9-1,,,5-0,,,,26-4,,,,,,,,,,18-2,,,,14-0,,,,29-1,8-1,,,,,33-3,7-0,,,,,,15-0,,,,
1979-09,705-62,,,,,49-5,,,,,,3-0,7-0,48-4,19-2,,34-2,9-0,,23-1,,,,,,,,,11-1,,37-2,49-6,,,,,,12-0,7-0-S Fusanishiki,,,31-4,41-7,,,,8-0,,45-7,,,32-4,,,,33-2,20-0,,17-2,,7-0,,,9-1,,,5-0,,,,26-4,,,,,,,,,,18-2,,,,14-1,,,,29-1,8-1,,,,,31-3,7-0,,,,,,15-0,,,,
1979-11,671-61,,,,,45-5,,,,,,3-0,7-0,47-4,18-2,,34-2,9-0,,23-1,,,,,,,,,10-1,,36-2,47-6,,,,,,12-0,5-0,,,29-3,39-7,,,,8-0,,40-7,,,34-4,,,,30-2,21-0,,17-2,,5-0,,,8-1,,,5-0,,,,24-4,,,,,,,,,,16-2,,,,13-1,,,,30-1,8-1,,,,,30-3,7-0,,,,,,13-0,,,,
1980-01,656-62,,,,,44-5,,,,,,3-0,7-0,45-3,18-2,,30-3,7-0,,21-1,,,,,,,,,10-1,,35-3,47-4,,,,,,12-0,5-0,,,30-3,36-7,,,,7-0,,41-8,,,41-4,,,,29-2,20-0,,16-2,,5-0,,,8-1,,,5-0,,,,23-3,,,,,,,,,,15-4,,,,14-1,,,,32-1,8-1,,,,,29-3,7-0,,,,,,12-0,,,,
1980-03,744-62,,,,,45-5,,,,,,6-0,8-0,49-3,18-2,,31-3,7-0,,22-1,,,,,,,,,11-1,,40-3,52-4,,,,,,13-0,5-0,,,32-3,35-7,,,,8-0,,48-9,,,42-4,,,,34-3,21-0,,19-2,,5-0,,,9-1,,,5-0,,,,25-3,,,,,,,,,,18-2,,,,15-1,,,9-0-Oshima-O Asahikuni,37-1,9-1,,,,,34-3,7-0,,,,,,11-0,,,,
1980-05,755-62,,,,,45-5,,,,,,6-0,9-0,51-4,19-2,,30-3,7-0,,23-2,,,,,,,,,12-1,,41-2,52-4,,,,,,13-0,5-0,,,33-3,32-5,,,,8-0,,51-9,,,41-4,,,,34-3,21-0,,20-2,,5-0,,,10-1,,,5-0,,,,24-4,,,,,,,,,,17-2,,,,15-1,,,11-0,38-1,9-1,,,,,34-3,7-0,,,,,,11-0,,,,
1980-07,736-62,,,,,42-5,,,,,,6-0,8-0,48-4,19-2,,30-2,7-0,,24-1,,,,,,,,,11-1,,36-3,50-4,,,,,,12-0,5-0,,,32-3,32-6,,,,7-0,,49-9,,,40-4,,,,34-2,20-0,,21-2,,5-0,,,10-1,,,6-0,,,,25-5,,,,,,,,,,17-2,,,,15-1,,,15-0,35-1,8-1,,,,,35-3,6-0,,,,,,10-0,,,,
1980-09,729-62,,,,,44-5,,,,,,4-0,8-0,47-4,19-2,,29-2,7-0,,23-1,,,,,,,,,11-1,,36-2,49-4,,,,,,12-0,5-0,,,33-3,32-5,,,,7-0,,51-9,,,40-4,,,,32-4,19-0,,21-2,,6-0,,,10-1,,,6-0,,,,23-5,,,,,,,,,,14-2,,,,15-1,,,17-0,35-1,8-1,,,,,36-3,6-0,,,,,,9-0,,,,
1980-11,701-62,,,,,41-6,,,,,,4-0,8-0,45-4,18-2,,28-2,7-0,,21-2,,,,,,,,,11-1,,36-2,49-5,,,,,,11-0,2-0,,,32-2,30-5,,,,9-0,,49-8,,,40-4,,,,33-3,19-0,,21-2,,5-0,,,9-1,,,6-0,,,,22-5,,,,,,,,,,14-2,,,,16-1,,,15-0,35-1,8-1,,,,,35-3,5-0,,,,,,9-0,,,,
1981-01,697-62,,,,,42-4,,,,,,4-0,8-0,46-4,16-2,,28-2,7-0,,20-1,,,,,,,,,11-1,,36-2,48-4,,,,,,11-0,3-0,,,32-2,30-6,,,,9-0,,47-9,,,31-4,,,,33-3,18-0,,21-3,,5-0,,,9-1,,,5-0,,,,22-5,,,,,,,,,,15-2,,,,16-1,,,15-0,35-2,7-1,,,,,35-3,5-0,,,,,,9-0,,,,
1981-03,781-61,,,,,47-4,,,,,,7-0,10-0,56-4,16-2,,29-3,7-0,,19-1,,,,,,,,,13-2,,35-2,58-4,,,,,,12-0,5-0,,,30-2,32-7,,,,10-0,,52-8,,,29-4,,13-0-Hanaregoma-O Kaiketsu,,38-2,21-0,,21-2,,13-0,,,9-1,,,7-0,,,,26-5,,,,,,,,,,16-2,,,,17-1,,,21-0,36-1,7-1,,,,,38-3,5-0,,,,,,9-0,,,,
1981-05,780-61,,,,,47-4,,,,,,8-0,11-0,55-5,17-2,,28-2,7-0,,19-2,,,,,,,,,13-1,,38-2,57-4,,,,,,12-0,5-0,,,30-2,30-7,,,,9-0,,55-8,,,30-3-Y Wajima,,15-0,,37-3,21-0,,21-2,,13-0,,,10-1,,,7-0,,,,26-4,,,,,,,,,,16-2,,,,17-1,,,20-0,36-1,7-1,,,,,40-3,5-1,,,,,,9-0,,,,
1981-07,760-62,,,,,45-4,,,,,,8-0,11-0,54-4,16-3,,28-2,6-0,,19-1,,,,,,,,,13-1,,34-2,57-4,,,,,,12-0,5-0,,,27-2,29-6,,,,9-0,,52-8,,,29-3,,15-0,,39-3,20-2,,21-3,,13-0,,,10-1,,,7-0,,,,26-4,,,,,,,,,,15-2,,,,17-1,,,20-0,36-1,7-1,,,,,40-3,4-1,,,,,,9-0,,,,
1981-09,746-61,,,,,41-4,5-0-Musashigawa-Y Mienoumi,,,,,8-0,12-0,51-5,13-3,,28-2,6-0,,18-0,,,,,,,,,13-2,,33-2,56-3,,,,,,12-0,5-0,,,26-2,29-7,,,,9-0,,50-8,,,27-3,,15-0,,36-3,19-1,,21-2,,13-0,,,10-1,,,7-0,,,,27-4,,,,,,,,,,15-2,,,,17-1,,,20-0,36-1,7-1,,,,,40-3,4-1,,,,,,8-0,,,,
1981-11,728-61,,,,,40-4,5-0,,,,,8-0,10-0,51-5,13-2,,26-2,6-1,,16-0,,,,,,,,,13-2,,29-2,54-3,,,,,,12-0,5-0,,,25-2,29-6,,,,8-0,,50-8,,,25-2,,16-0,,36-3,19-1,,21-3,,13-0,,,10-2,,,7-0,,,,27-4,,,,,,,,,,15-2,,,,17-0,,,20-0,34-2,7-1,,,,,40-3,4-1,,,,,,8-0,,,,
1982-01,714-62,,,,,40-4,6-0,,,,,8-0,10-0,50-7,12-2,,24-3,6-0,,16-0,,,,,,,,,14-2,,28-4,53-4,,,,,,10-0,5-0,,,25-2,28-5,,,,9-0,,46-7,,,28-1,,16-0,,36-3,19-0,,22-3,,13-0,,,10-2,,,7-0,,,,28-4,,,,,,,,,,14-2,,,,16-0,,,19-0,34-2,7-1,,,,,40-3,4-1,,,,,,8-0,,,,
1982-03,791-63,,,,,41-4,13-0,,,,,10-0,11-0,55-5,13-2,,31-2,8-0,,16-1,,,,,,,,,13-2,,31-3,56-4,,,,,,11-0,6-0,,,24-1,35-6,,,,11-0,,36-7,,,27-2,,19-1,,39-4,21-0,,22-3,,17-0,,,10-2,,,7-0,,,,29-4,,,,,,,,,,17-2,,,,16-0,,,22-1,39-2,8-1,,,,15-0-Fujishima-O Takanohana,42-3,4-1,,,,,,10-0,,,,
1982-05,787-63,,,,,41-4,13-0,,,,,9-0,11-0,55-5,14-2,,31-2,8-0,,16-1,,,,,,,,,13-2,,32-3,55-4,,,,,,11-0,7-0,,,24-1,35-6,,,,11-0,,35-7,,,19-1,,20-0,,41-3,20-2,,21-3,,17-0,,,12-2,,,6-0,,,,29-4,,,,,,,,,,16-2,,,,16-1,,,22-1,38-2,8-1,,,,16-0,41-3,4-1,,,,,,10-0,,,,
1982-07,761-64,,,,,37-4,11-0,,,,,10-0,11-0,55-5,13-2,,31-2,8-0,,17-1,,,,,,,,,12-2,,32-3,55-3,,,,,,11-0,8-0,,,23-1,35-6,,,,11-0,,34-7,,,21-1,,18-0,,40-4,19-2,,19-3,,16-0,,,12-2,,,7-0,,,,29-4,,,,,,,,,,15-3,,,,16-1,,,21-1,37-2,6-1,,,,17-0,41-3,4-1,,,,,,9-0,,,,
1982-09,762-64,,,,,37-5,11-0,,,,,10-0,11-0,53-5,13-1,,31-2,8-0,,17-1,,,,,,,,,11-2,,30-3,55-3,,,,,,11-0,8-0,,,22-2,35-5,,,,12-0,,34-7,,,21-1,,18-0,,41-4,19-2,,19-3,,16-0,,,12-2,,,9-0,,,,29-4,,,,,,,,,,15-3,,,,16-1,,,21-1,38-2,6-1,,,,19-0,41-3,3-1,,,,,,9-0,,,,
1982-11,734-63,,,,,36-5,11-0,,,,,9-0,10-0,52-6,13-1,,30-2,7-0,,17-1,,,,,,,,,10-1,,27-2,53-4,,,,,,12-0,7-0,,,21-0,34-5,,,,12-0,,33-7,,,21-1,,18-1,,41-4,19-3,,18-4,,16-0,,,11-1,,,10-1,,,,27-4,,,,,,,,,,15-3,,,,16-1,,,21-1,35-2,6-0,,,,19-0,38-3,,,,,,,9-0,,,,
1983-01,725-64,,,,,37-4,11-0,,,,,9-0,10-0-S Fujinokawa II,52-6,12-2,,31-2,7-0,1-0-Minato-K Yutakayama,16-1,,,,,,,,,11-1,,27-3,51-3,,,,,,12-0,7-0,,,19-0,30-5,,,,12-0,,33-7,,,20-1,,19-1,,40-5,19-3,,18-4,,16-0,,,11-1,,,9-1,,,,27-4,,,,,,,,,,15-3,,,,16-1,,,21-1,35-2,6-0,,,,19-0,36-3,,,,,,,9-0,,,,
1983-03,800-61,,,,,40-4,14-0,,,,,9-0,14-0,53-6,15-2,,32-4,7-0,4-0,15-0,,,,,,,,,11-1,,33-2,52-3,,,,,,12-0,7-0,,,21-1,33-5,,,,15-0,,32-5,,,19-1,,20-1,,42-4,22-3,,22-3,,19-0,,,12-1,,,9-1,,,,32-4,,,,,,,,,,18-3,,,,16-1,,,25-1,38-2,7-0,,,,32-0,38-3,,,,,,,9-0,,,,
1983-05,799-62,,,,,39-4,14-0,,,,,11-0,14-0,53-7,14-2,,33-4,6-0,5-0,14-0,,,,,,,,,11-1,,32-2,52-3,,,,,,12-0,7-0,,,22-0,34-5,,,,15-0,,32-4,,,18-3,,21-1,,41-5,23-3,,22-2,,20-0,,,10-1,,,9-1,,,,32-4,,,,,,,,,,18-3,,,,16-1,,,24-1,39-2,7-0,,,,30-0,36-3,,,,,,,9-0,,,,
1983-07,786-63,,,,,39-4,14-0,,,,,11-0,14-0,52-7,13-1,,32-4,4-0,6-0,15-0,,,,,,,,,11-1,,30-3,52-2,,,,,,12-0,9-0,,,20-0,33-5,,,,15-0,,31-5,,,18-1,,21-1,,41-7,23-3,,22-3,,20-0,,,10-1,,,9-1,,,,32-3,,,,,,,,,,16-3,,,,16-1,,,24-1,39-3,6-0,,,,28-0,36-3,,,,,,,9-0,,,,
1983-09,778-63,,,,,36-4,14-0,,,,,11-0,14-1,51-8,13-1,,30-4,4-0,6-0,14-1,,,,,,,,,11-1,,30-2,53-2,,,,,,12-0,9-0,,,20-0,34-5,,,,15-0,,30-5,,,17-2,,22-1,,41-5,25-3,,22-2,,20-0,,,10-1,,,9-1,,,,32-4,,,,,,,,,,16-3,,,,15-1,,,24-1,38-2,5-0,,,,27-0,37-3,,,,,,,8-0,,,,
1983-11,767-63,,,,,36-4,14-0,,,,,11-0,14-1,50-7,13-1,,28-3,4-1,6-0,14-0,,,,,,,,,11-1,,30-2,54-2,,,,,,12-0,9-0,,,20-0,32-5,,,,15-0,,29-5,,,18-2,,22-1,,39-7,25-3,,22-3,,19-0,,,10-0,,,10-1,,,,32-3,,,,,,,,,,15-3,,,,15-1,,,24-1,38-2,5-0,,,,26-0,37-4,,,,,,,8-0,,,,
1984-01,765-64,,,,,36-4,15-0,,,,,11-0,15-1,48-6,13-1,,28-3,4-1,7-0,13-0,,,,,,,,,11-1,,30-3,54-2,,,,,,12-1,9-0,,,20-1,31-4,,,,15-0,,29-5,,,22-4,,22-1,,37-5,25-3,,22-2,,19-0,,,10-0,,,10-1,,4-0-Magaki-Y Wakanohana II,,32-4,,,,,,,,,,15-3,,,,15-1,,,24-1,38-2,5-0,,,,23-0,36-4,,,,,,,8-0,,,,
1984-03,834-64,,,,,39-4,20-0,,,,,13-0,16-1,52-6,15-1,,30-3,4-1,10-0,14-1,,,,,,,,,12-1,,30-2,59-3,,,,,,14-0,8-0,,,20-1,31-5,,,,16-0,,28-5,,,22-4,,28-1,,42-3,25-3,,21-3,,18-0,,,10-0,,,13-1,,10-0,,38-4,,,,,,,,,,14-3,,,,16-1,,,29-1,41-2,4-0,,,,28-0,38-4,,,,,,,6-0,,,,
1984-05,831-64,,,,,38-4,19-0,,,,,16-0,18-1,50-6,15-1,,28-4,4-1,11-0,15-1,,,,,,,,,12-1,,30-2,57-3,,,,,,13-0,8-0,,,19-1,32-5,,,,16-0,,26-5,,,22-3,,28-1,,40-3,27-3,,21-1,,18-0,,,8-0,,,13-1,,11-0,,38-4,,,,,,,,,,14-3,,,,16-1,,,29-1,42-2,5-0,,,,30-0,36-6,,,,,,,6-0,,,,
1984-07,807-64,,,,,36-4,19-0,,,,,16-0,17-1,48-7,16-1,,26-3,3-0,11-0,13-2,,,,,,,,,12-1,,29-2,57-2,,,,,,13-1,8-0,,,18-1,33-4,,,,16-0,,26-6,,,22-4,,28-1,,37-2,26-5,,21-1,,18-0,,,8-0,,,12-1,,11-0,,35-3,,,,,,,,,,14-3,,,,17-1,,,30-1,39-2,5-0,,,,28-0,34-5,,,,,,,5-0,,,,
1984-09,808-64,,,,,36-4,18-0,,,,,15-0,16-1,46-7,16-1,,26-3,3-0,12-0,14-1,,,,,,,,,12-1,,28-2,55-3,,,,,,14-1,10-0,,,16-1,33-4,,,,16-0,,26-5,,,22-4,,28-1,,37-2,27-5,,21-1,,18-1,,,9-0,,,12-1,,12-0,,35-3,,,,,,,,,,14-3,,,,18-1,,,31-1,39-2,5-0,,,,25-0,36-5,,,,,,,6-0,,,,
1984-11,775-64,,,,,36-4,18-0,,,,,14-0,16-1,44-7,16-0,,22-3,5-0,11-0,14-1,,,,,,,,,12-1,,28-3,51-3,,,,,,15-1,11-0,,,14-1,32-5,,,,15-0,,25-5,,,20-2,,26-1,,35-2,27-5,,20-2,,17-0,,,8-0,,,12-1,,10-0,,33-3-O Masuiyama II,,,,,,,,,,14-3,,,,18-1,,,30-1,33-2,5-0,,,,25-0,34-6,,,,,,,6-0,,,,
1985-01,773-63,,,,,36-4,18-0,,,,,14-0,16-1,44-7,15-1,,22-3,5-0,12-0,15-2,,,,,,,,,12-1,,28-2,51-3,,,,,,15-1,11-0,,,14-1,34-5,,,,16-0,,23-5,,,22-2,,24-1,,35-2,27-5,,20-2,,17-0,,,8-0,,,12-1,,10-0,,32-3,,,,,,,,,,14-3,,,,18-1,,,30-1,34-1,5-0,,,,25-0,33-5,,,,,,,7-0,,,,
1985-03,860-64,,,,,39-4,21-0,,,,,13-0,15-1,52-7,15-1,,31-4,5-0,14-0,17-1,,,,,,,,,14-1,,30-4,57-3,,,,,,19-1,13-0,,,16-1,39-5,,,,17-0,,25-5,,,23-2,,29-1,,33-2,31-5,,18-2,,17-0,,,12-0,,,13-1,,20-0,,36-2,,,,,,,,,,15-3,,,,17-1,,,29-1,35-2,4-0,,,,30-0,39-4,,,,,,,7-0,,,,
1985-05,858-64,,,,,40-4,21-0,,,,,13-0,15-1,50-8,15-1,,32-2,5-0,14-0,17-1,,,,,,,,,14-2,,30-3,54-4,,,,,,19-1,13-0,,,18-1,36-5,,,,17-0,,25-5,,,23-3,,30-1,,33-2,31-5,,18-2,,17-0,,,12-0,,,13-1,,20-0,,36-2,,,,,,,,,,15-3,,,,17-1,,,28-1,35-2,4-0,,,,31-0,40-3,,,,,,,7-0,,,,
1985-07,826-64,,,,,40-4,21-0,,,,,13-0,15-1,47-7,15-1,,30-3,5-0,11-0,17-2,,,,,,,,,14-1,,28-3,51-4,,,,,,19-2,11-0,,,15-2,35-3,,,,16-0,,25-5,,,23-2,,28-1,,32-3,31-5,,17-2,,18-0,,,11-0,,,11-1,,21-0,,35-2,,,,,,,,,,14-3,,,,17-1,,,27-1,34-2,4-0,,,,29-0,39-3,,,,,,,7-0,,,,
1985-09,826-64,,,,,39-4,21-0,,,,,13-0,15-1,48-8,15-1,,29-2,5-0,11-0,17-2,,,,,,,,,14-1,,29-5,51-4,,,,,,19-2,10-0,,,15-2,35-2,,,,16-0,,25-5,,,21-3,,29-1,,33-1,31-5,,17-2,,18-0,,,11-0,,,11-1,,21-0,,35-2,,,,,,,,,,14-3,,,,17-1,,,27-1,34-2,4-0,,,,28-0,39-3,,,,,,,7-0,,,,
1985-11,799-64,,,,,36-4,21-0,,,,,13-0,15-1,48-7,15-1,,29-2,5-0,12-0,17-2,,,,,,,,,13-1,,26-5,50-5,,,,,,18-2,10-0,,,13-1,35-2,,,,16-0,,24-5,,,19-3,,27-1,,30-2,31-5,,16-2,,18-0,,,11-0,,,11-1,,20-0,,33-2,,,,,,,,,,13-3,,,,17-1,,,25-1,34-2,4-0,,,,28-0,38-3,,,,,,,5-0,,,,
