Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1949-10,280-83,,,,,31-15,,,,,,,5-0,8-4,,,,12-0,,,,,,,,,,,13-6,,,,,,,,,,3-1,,,24-11,29-9,,,,6-2,,,,,,,,,22-8,,,,,,,,,,3-1,,,,2-1,n,,,,2-2,,,2-0,,4-3,35-11,,2-1,,,,3-0,,,1-1,,,,,24-6,,,3-0,,,,,,,,
1950-01,287-83,,,,,33-16,,,,,,,7-0,8-4,,,,12-0,,,,,,,,,,,13-6,,,,,,,,,,3-1,,,25-12,30-8,,,,7-2,,,,,,,,,22-8,,,,,,,,,,3-1,,,,1-0,n,,,,2-2,,,2-0,,4-2,37-13,,2-1,,,,3-1,,,1-1,,,,,24-4,,,3-0,,,,,,,,
1950-05,296-85,,,,,31-16,,,,,,,8-0,9-4,,,,13-0,,,,,,,,,,,13-6,,,,,,,,,,4-1,,,27-12,32-9,,,,8-2,,,,,,,,,22-7,,,,,,,,,,2-0,,,,2-0,3-1-O Masuiyama I,,,,2-2,,,2-0,,4-3,40-14,,2-1,,,,3-1,,,1-1,,,,,24-5,,,3-0,,,,,,,,
1950-09,300-84,,,,,31-15,,,,,,,9-1,11-3,,,,13-0,,,,,,,,,,,14-5,,,,,,,,,,5-1,,,30-11,32-9,,,,9-2,,,,,,,,,23-10,,,,,,,,,,2-0,,,,2-0,3-1,,,,2-2,,,2-0,,5-3,39-12,,2-1,,,,3-1,,,1-1,,,,,27-6,,,3-0,,,,,,,,
1951-01,307-85,,,,,37-15,,,,,,,9-1,10-3,,,,14-0,,,,,,,,,,,13-5-K Tomoegata,,,,,,,,,,6-1,,,31-10,31-9,,,,9-2,,,,,,,,,23-8,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,5-3,41-14,,3-1,,,,3-1,,,1-1,,,,,28-7,,,3-0,,,,,,,,
1951-05,318-85,,,,,38-16,,,,,,,10-1,9-3,,,,15-0,,,,,,,,,,,14-5,,,,,,,,,,7-1,,,32-9,33-8,,,,9-2,,,,,,,,,27-9,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,6-3,41-14,,4-1,,,,3-1,,,2-1,,,,,29-7,,,3-0,,,,,,,,
1951-09,326-84,,,,,36-13,,,,,,,10-2,10-3,,,,14-0,,,,,,,,,,,14-5,,,,,,,,,,7-1,,,33-10,32-9,,,,9-2,,,,,,,,,27-8,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,6-3,43-12-O Saganohana,,4-1,,,,3-1,,,2-1,,,,,31-9,,,3-0,,,,,,,,
1952-01,337-86,,,,,39-14,,,,,,,11-2,11-3,,,,14-0,,,,,,,,,,,14-5,,,,,,,,,,8-2,,,34-10,32-10,,,,9-2,,,,,,,,,27-9,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,6-3,45-11,,3-1,,,,3-1,,,2-1,,,,,31-8,,,3-0,,,,,,,,
1952-05,357-86,,,,,43-13,,,,,,,11-2,12-3,,,,14-1,,,,,,,,,,,15-5,,,,,,,,,,9-1,,,34-11,32-11,,,,9-2,,,,,,,,,27-9,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,6-3,42-9,,3-1,,,,3-1,,,2-1,,,,,29-9,,,2-0,,,,,,,,
1952-09,388-89,,,,,41-13,,,,,,,11-2,11-3,,,,14-2,,,,,,,,,,,15-5,,,,,,,,,,9-1,,,35-12,31-12,,,,9-2,,,,,7-3-Shibatayama-M3 Onoumi,,,,27-9,,,,,,,,,,2-0,,,,2-0,4-1,,,,2-2,,,2-1,,6-3,33-6,,4-1,,,,3-1,,,2-1,,,,,30-9,,,1-0,,,,,,,,
